date,open,high,low,close,volume,signal,short_ma,long_ma,positions,cash,stock,holding,total,roi_gross,roi_daily,roi_buy&hold,roi_daily_buy&hold,sharpe,sharpe_buy&hold
2021-03-02,718.28,721.11,685.0,686.44,23732158.0,0.0,778.4346,854.929,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.38690460241329727,-0.044527650571384636,-1.000000000000003,0.46587911628239315
2021-03-03,687.99,700.7,651.705,653.2,30207960.0,0.0,778.3806,854.19915,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.4165929816099962,-0.04842375152963119,-0.9999999999999988,0.4205490120095974
2021-03-04,655.8,668.45,600.0,621.44,64799898.0,0.0,776.9094,853.2382000000001,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.44495949554763625,-0.048622167789344695,-0.9999999999999988,0.37133725221214003
2021-03-05,626.06,627.8419,539.49,597.95,89396459.0,0.0,775.8711999999999,852.1878999999999,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.4659396407741843,-0.03779930484037075,-1.0000000000000002,0.32205553758923244
2021-03-08,600.55,620.125,558.79,563.0,51786958.0,0.0,774.3244,850.9250999999999,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.49715531023641746,-0.05844970315243758,-0.9999999999999968,0.283893855275775
2021-03-09,608.18,678.09,595.21,673.58,67523328.0,0.0,774.8764,850.155,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.3983905397318757,0.1964120781527532,-0.9999999999999983,0.22486548111678287
2021-03-10,700.3,717.85,655.06,668.06,60605672.0,0.0,775.0022,849.4109,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.4033207398872843,-0.008195017666795423,-0.9999999999999981,0.41369769183326743
2021-03-11,699.4,702.5,677.18,699.6,36253892.0,0.0,775.7203999999999,848.81455,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.3751507194340988,0.04721132832380337,-0.999999999999999,0.40562970711872576
2021-03-12,670.0,694.88,666.1394,693.73,33583840.0,0.0,776.2752,848.1820499999999,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.38039352286023065,-0.008390508862206936,-1.0000000000000029,0.4515884112431354
2021-03-15,694.09,713.18,684.04,707.94,29423479.0,0.0,776.5384000000001,847.6927,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.36770183006886203,0.020483473397431284,-1.0000000000000029,0.4433331448966168
