date,close,VWAP,signal,positions
2022-02-09 17:15:00,176.5,175.7624,1.0,0.0
2022-02-09 17:20:00,176.5,175.7948,1.0,0.0
2022-02-09 17:25:00,176.45,175.7978,1.0,0.0
2022-02-09 17:30:00,176.45,175.7979,1.0,0.0
2022-02-09 17:35:00,176.41,175.7979,1.0,0.0
2022-02-09 17:40:00,176.28,175.8038,1.0,0.0
2022-02-09 17:45:00,176.33,175.8039,1.0,0.0
2022-02-09 17:50:00,176.36,175.8039,1.0,0.0
2022-02-09 17:55:00,176.4,175.8039,1.0,0.0
2022-02-09 18:00:00,176.4001,175.8039,1.0,0.0
2022-02-09 18:05:00,176.4,175.8039,1.0,0.0
2022-02-09 18:10:00,176.41,175.804,1.0,0.0
2022-02-09 18:15:00,176.39,175.804,1.0,0.0
2022-02-09 18:20:00,176.36,175.804,1.0,0.0
2022-02-09 18:25:00,176.3,175.804,1.0,0.0
2022-02-09 18:30:00,176.3,175.804,1.0,0.0
2022-02-09 18:35:00,176.26,175.804,1.0,0.0
2022-02-09 18:40:00,176.21,175.8041,1.0,0.0
2022-02-09 18:45:00,176.26,175.8041,1.0,0.0
2022-02-09 18:50:00,176.25,175.8041,1.0,0.0
2022-02-09 19:00:00,176.14,175.8041,1.0,0.0
2022-02-09 19:05:00,176.23,175.8041,1.0,0.0
2022-02-09 19:10:00,176.11,175.8041,1.0,0.0
2022-02-09 19:15:00,176.12,175.8041,1.0,0.0
2022-02-09 19:20:00,176.11,175.8042,1.0,0.0
2022-02-09 19:25:00,176.12,175.8042,1.0,0.0
2022-02-09 19:30:00,176.12,175.8042,1.0,0.0
2022-02-09 19:35:00,176.17,175.8042,1.0,0.0
2022-02-09 19:40:00,176.12,175.8042,1.0,0.0
2022-02-09 19:45:00,176.11,175.8042,1.0,0.0
2022-02-09 19:50:00,176.03,175.8042,1.0,0.0
2022-02-09 19:55:00,175.95,175.8042,1.0,0.0
2022-02-09 20:00:00,176.0,175.8043,1.0,0.0
2022-02-10 04:05:00,175.72,175.69,1.0,0.0
2022-02-10 04:10:00,175.7,175.688,1.0,0.0
2022-02-10 04:15:00,175.61,175.6747,0.0,-1.0
2022-02-10 04:20:00,175.65,175.6725,0.0,0.0
2022-02-10 04:25:00,175.51,175.6445,0.0,0.0
2022-02-10 04:30:00,175.5,175.6126,0.0,0.0
2022-02-10 04:35:00,175.46,175.5882,0.0,0.0
2022-02-10 04:40:00,175.55,175.5866,0.0,0.0
2022-02-10 04:45:00,175.61,175.5875,1.0,1.0
2022-02-10 04:50:00,175.52,175.5824,0.0,-1.0
2022-02-10 05:00:00,175.68,175.5854,1.0,1.0
2022-02-10 05:20:00,175.65,175.5874,1.0,0.0
2022-02-10 05:40:00,175.65,175.5895,1.0,0.0
2022-02-10 05:45:00,175.68,175.5921,1.0,0.0
2022-02-10 05:55:00,175.57,175.5916,0.0,-1.0
2022-02-10 06:00:00,175.55,175.5907,0.0,0.0
2022-02-10 06:10:00,175.5,175.5871,0.0,0.0
2022-02-10 06:35:00,175.56,175.5866,0.0,0.0
2022-02-10 06:40:00,175.55,175.5859,0.0,0.0
2022-02-10 06:45:00,175.6,175.587,1.0,1.0
2022-02-10 06:50:00,175.54,175.5862,0.0,-1.0
2022-02-10 06:55:00,175.54,175.5821,0.0,0.0
2022-02-10 07:00:00,175.51,175.5781,0.0,0.0
2022-02-10 07:05:00,175.77,175.6133,1.0,1.0
2022-02-10 07:10:00,175.87,175.6835,1.0,0.0
2022-02-10 07:15:00,175.94,175.693,1.0,0.0
2022-02-10 07:20:00,175.9,175.718,1.0,0.0
2022-02-10 07:25:00,175.92,175.7245,1.0,0.0
2022-02-10 07:30:00,175.85,175.7341,1.0,0.0
2022-02-10 07:35:00,175.86,175.7389,1.0,0.0
2022-02-10 07:40:00,175.93,175.7403,1.0,0.0
2022-02-10 07:45:00,175.87,175.7458,1.0,0.0
2022-02-10 07:50:00,175.89,175.7505,1.0,0.0
2022-02-10 07:55:00,175.93,175.7643,1.0,0.0
2022-02-10 08:00:00,175.94,175.7721,1.0,0.0
2022-02-10 08:05:00,176.05,175.8548,1.0,0.0
2022-02-10 08:10:00,176.25,175.9044,1.0,0.0
2022-02-10 08:15:00,176.13,175.9146,1.0,0.0
2022-02-10 08:20:00,176.2,175.9224,1.0,0.0
2022-02-10 08:25:00,176.1,175.9348,1.0,0.0
2022-02-10 08:30:00,176.15,175.9477,1.0,0.0
2022-02-10 08:35:00,174.2101,175.3401,0.0,-1.0
2022-02-10 08:40:00,174.73,175.1801,0.0,0.0
2022-02-10 08:45:00,174.41,175.0898,0.0,0.0
2022-02-10 08:50:00,174.04,174.9945,0.0,0.0
2022-02-10 08:55:00,174.13,174.9313,0.0,0.0
2022-02-10 09:00:00,174.25,174.8847,0.0,0.0
2022-02-10 09:05:00,174.07,174.7161,0.0,0.0
2022-02-10 09:10:00,174.22,174.67,0.0,0.0
2022-02-10 09:15:00,174.12,174.6134,0.0,0.0
2022-02-10 09:20:00,174.4,174.5992,0.0,0.0
2022-02-10 09:25:00,174.36,174.5898,0.0,0.0
2022-02-10 09:30:00,174.09,174.5707,0.0,0.0
2022-02-10 09:35:00,174.285,174.3219,0.0,0.0
2022-02-10 09:40:00,174.29,174.2889,1.0,1.0
2022-02-10 09:45:00,174.25,174.302,0.0,-1.0
2022-02-10 09:50:00,174.3,174.3018,0.0,0.0
2022-02-10 09:55:00,175.09,174.3842,1.0,1.0
